institution,fiscal_year,study_level,gender,headcount
Carleton,2018-2019,Graduate,N/A or Another,101
Carleton,2019-2020,Undergraduate,Female,10924
Carleton,2019-2020,Undergraduate,Male,10658
Carleton,2019-2020,Undergraduate,N/A or Another,225
Carleton,2019-2020,Graduate,Female,1776
Carleton,2019-2020,Graduate,Male,1764
Carleton,2019-2020,Graduate,N/A or Another,99
Carleton,2020-2021,Undergraduate,Female,10807
Carleton,2020-2021,Undergraduate,Male,10164
Carleton,2020-2021,Undergraduate,N/A or Another,258
Carleton,2020-2021,Graduate,Female,1935
Carleton,2020-2021,Graduate,Male,1836
Carleton,2020-2021,Graduate,N/A or Another,74
Carleton,2021-2022,Undergraduate,Female,10422
Carleton,2021-2022,Undergraduate,Male,9873
Carleton,2021-2022,Undergraduate,N/A or Another,268
Carleton,2021-2022,Graduate,Female,1966
Carleton,2021-2022,Graduate,Male,1836
Carleton,2021-2022,Graduate,N/A or Another,70
Carleton,2022-2023,Undergraduate,Female,9871
Carleton,2022-2023,Undergraduate,Male,9718
Carleton,2022-2023,Undergraduate,N/A or Another,334
Carleton,2022-2023,Graduate,Female,1942
Carleton,2022-2023,Graduate,Male,1784
Carleton,2022-2023,Graduate,N/A or Another,78
Carleton,2023-2024,Undergraduate,Female,9716
Carleton,2023-2024,Undergraduate,Male,9861
Carleton,2023-2024,Undergraduate,N/A or Another,478
Carleton,2023-2024,Graduate,Female,1984
Carleton,2023-2024,Graduate,Male,1810
Carleton,2023-2024,Graduate,N/A or Another,126
Dominican,2012-2013,Undergraduate,Female,19
Dominican,2012-2013,Undergraduate,Male,38
Dominican,2012-2013,Graduate,Female,11
Dominican,2012-2013,Graduate,Male,39
Guelph,2012-2013,Undergraduate,Female,13601
Guelph,2012-2013,Undergraduate,Male,8904
Guelph,2012-2013,Graduate,Female,1355
Guelph,2012-2013,Graduate,Male,1058
Guelph,2013-2014,Undergraduate,Female,13615
Guelph,2013-2014,Undergraduate,Male,9090
Guelph,2013-2014,Graduate,Female,1334
Guelph,2013-2014,Graduate,Male,1001
Guelph,2014-2015,Undergraduate,Female,13787
Guelph,2014-2015,Undergraduate,Male,9155
Guelph,2014-2015,Graduate,Female,1307
Guelph,2014-2015,Graduate,Male,983
Guelph,2015-2016,Undergraduate,Female,14076
Guelph,2015-2016,Undergraduate,Male,9630
Guelph,2015-2016,Graduate,Female,1359
Guelph,2015-2016,Graduate,Male,939
Guelph,2016-2017,Undergraduate,Female,14546
Guelph,2016-2017,Undergraduate,Male,9723
Guelph,2016-2017,Graduate,Female,1428
Guelph,2016-2017,Graduate,Male,1060
Guelph,2016-2017,Graduate,N/A or Another,0
Guelph,2017-2018,Undergraduate,Female,14568
Guelph,2017-2018,Undergraduate,Male,9593
Guelph,2017-2018,Undergraduate,N/A or Another,39
Guelph,2017-2018,Graduate,Female,1504
Guelph,2017-2018,Graduate,Male,1106
Guelph,2017-2018,Graduate,N/A or Another,11
Guelph,2018-2019,Undergraduate,Female,14552
Guelph,2018-2019,Undergraduate,Male,9503
Guelph,2018-2019,Undergraduate,N/A or Another,62
Guelph,2018-2019,Graduate,Female,1553
Guelph,2018-2019,Graduate,Male,1103
Guelph,2018-2019,Graduate,N/A or Another,31
Guelph,2019-2020,Undergraduate,Female,14774
Guelph,2019-2020,Undergraduate,Male,9474
Guelph,2019-2020,Undergraduate,N/A or Another,213
Guelph,2019-2020,Graduate,Female,1633
Guelph,2019-2020,Graduate,Male,1138
Guelph,2019-2020,Graduate,N/A or Another,65
Guelph,2020-2021,Undergraduate,Female,14485
Guelph,2020-2021,Undergraduate,Male,9111
Guelph,2020-2021,Undergraduate,N/A or Another,402
Guelph,2020-2021,Graduate,Female,1610
Guelph,2020-2021,Graduate,Male,1113
Guelph,2020-2021,Graduate,N/A or Another,111
Guelph,2021-2022,Undergraduate,Female,14020
Guelph,2021-2022,Undergraduate,Male,8801
Guelph,2021-2022,Undergraduate,N/A or Another,479
Guelph,2021-2022,Graduate,Female,1650
Guelph,2021-2022,Graduate,Male,1105
